dimension,processors,time,algorithm
800,25,0.691144,Cannon
800,100,0.778122,Cannon
800,400,2.94308,Cannon
2000,25,8.372763,Cannon
2000,100,3.200911,Cannon
2000,400,3.609475,Cannon
4000,25,82.727112,Cannon
4000,100,16.943196,Cannon
4000,400,6.872268,Cannon
6000,100,64.042029,Cannon
6000,400,16.931221,Cannon
8000,100,231.121003,Cannon
8000,400,37.343715,Cannon
800,25,1.388678,Row
800,100,1.845281,Row
800,400,5.645024,Row
2000,25,10.82428,Row
2000,100,6.735045,Row
2000,400,6.691771,Row
4000,25,74.881623,Row
4000,100,30.053426,Row
4000,400,35.206967,Row
6000,100,67.677042,Row
6000,400,41.524849,Row
8000,100,308.341754,Row
8000,400,54.119603,Row
800,25,1.680662,Fox
800,100,1.723366,Fox
800,400,3.11635,Fox
2000,25,8.959479,Fox
2000,100,3.269764,Fox
2000,400,3.443337,Fox
4000,25,79.052622,Fox
4000,100,17.725734,Fox
4000,400,6.589058,Fox
6000,100,75.676186,Fox
6000,400,16.255635,Fox
8000,100,193.85693967,Fox
8000,400,35.782699,Fox
